Stichwort,Titel,Beschreibung,Sprachausgabe
a,a,"'an', örtlich u. zeitlich. A ma Wäärtig 'an einem Werktag'; a dämm 'daran', a dämm cha s nid sii '«an diesem kann es nicht sein»; daran kann es nicht liegen'; an ämm 'an jenem'; an eu ischt nüüd '«an euch ist nichts»; euch fehlt es an nichts'.",
a-ba,"a ba","[à bá]scharfe Verneinung, oder auch artikuliertes Abwinken. A ba 'ach was!, ich mag nichts davon wissen!' Verkürzt auch einfach abschätziges kurzes a.",
a-1,"a ma","'an ihm','einem'. As hed s hüür amma '«es hat es heuer an sich»; es scheint heuer so zu sein'.",
aab,aab,"'hinunter, abwärts'. 
Dött geid s aab 'dort geht es abwärts', auch 'dort geht es hinunter'; 
i ds Land aab 'ins Tal hinunter'; danaab 'da hinunter'. Vgl. auch nidschi.",
aaba,aaba,"(gaabat)'an Lebenskraft verlieren'. Zu Aabat 'Abend', die wörtliche Bedeutung ist '«abenden»; Abend werden'.","Dein Browser unterstützt die Sprachausgabe nicht."
aabaschta,aabaschta,"(aabgaschtat) Dim. aabäschtla'«abasten»; einen (gefällten) Baum von den Ästen befreien'.",
aabat,Aabat,"m. Pl. Ääbat'Abend'. Am Aabat 'abends'; dia Ääbat 'letzthin an einem Abend'.",
aabatmaess,Aabatmäss,"f.'«Abendmesse»; die Messe am Sonntagabend, bzw. Samstagabend'.Sie wurde in Triesenberg seit dem 1. Januar 1967 regelmässig abgehalten.",
aabbaettla,aabbättla,"(aabbättlat)'«abbetteln»; erbetteln'. I ha ma dua an Öpfl aabbättlat 'ich habe dann von ihm einen Apfel erbettelt'.",
aabbinda,aabbinda,"(aabbunda)'«abbinden»; hinunterbinden', hauptsächlich vom Dachstock, auch 'unterbinden'.",
